127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-11 20:37:28, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-11 20:37:41, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2019-04-11 20:37:41, GET, /welcome/default/index, HTTP/1.1, 500, 0.015000
127.0.0.1, 2019-04-11 20:37:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:17:39, GET, /, HTTP/1.1, 303, 0.873770
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.255206
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004015
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002017
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.011997
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010995
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.012996
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.011998
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.027989
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.015995
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2019-04-24 21:17:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:17:44, GET, /welcome/default/api_get_user_email, HTTP/1.1, 303, 0.010995
127.0.0.1, 2019-04-24 21:17:44, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.026007
127.0.0.1, 2019-04-24 21:17:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-24 21:17:44, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001998
127.0.0.1, 2019-04-24 21:17:52, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.017994
127.0.0.1, 2019-04-24 21:17:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.013979
127.0.0.1, 2019-04-24 21:17:52, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-04-24 21:31:52, GET, /, HTTP/1.1, 303, 0.922016
127.0.0.1, 2019-04-24 21:31:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.112955
127.0.0.1, 2019-04-24 21:31:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:31:53, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:31:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-04-24 21:31:53, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000999
127.0.0.1, 2019-04-24 21:31:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:33:12, GET, /admin/default/about/welcome, HTTP/1.1, 200, 0.180696
127.0.0.1, 2019-04-24 21:33:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:33:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.016993
127.0.0.1, 2019-04-24 21:33:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2019-04-24 21:33:25, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2019-04-24 21:33:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.020992
127.0.0.1, 2019-04-24 21:33:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001001
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/default/about/welcome, HTTP/1.1, 303, 0.008066
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/default/index, HTTP/1.1, 200, 0.061265
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.005998
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.007998
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.006998
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.014996
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002999
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002999
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.035989
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.012995
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.002001
127.0.0.1, 2019-04-24 21:33:28, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.017994
127.0.0.1, 2019-04-24 21:33:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:33:32, POST, /admin/default/index, HTTP/1.1, 303, 0.012007
127.0.0.1, 2019-04-24 21:33:32, GET, /admin/default/about/welcome, HTTP/1.1, 200, 0.034988
127.0.0.1, 2019-04-24 21:33:32, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2019-04-24 21:33:32, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:33:32, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:33:32, GET, /admin/static/_2.18.5/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.016996
127.0.0.1, 2019-04-24 21:33:32, GET, /admin/static/_2.18.5/js/jquery.flot.js, HTTP/1.1, 200, 0.018994
127.0.0.1, 2019-04-24 21:33:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:34:15, GET, /admin/default/index, HTTP/1.1, 303, 0.004008
127.0.0.1, 2019-04-24 21:34:15, GET, /admin/default/site, HTTP/1.1, 200, 0.044988
127.0.0.1, 2019-04-24 21:34:15, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:34:15, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.001995
127.0.0.1, 2019-04-24 21:34:15, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:34:15, POST, /admin/default/check_version, HTTP/1.1, 200, 0.262561
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/default/index, HTTP/1.1, 200, 0.168681
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/css/stupid.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:34:23, GET, /HW2/static/js/vue.min.js, HTTP/1.1, 200, 0.000000
